step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest
1,TRANSFER,181.0,181.0,0.0,0.0,0.0
2,TRANSFER,181.0,0.0,0.0,0.0,0.0
3,TRANSFER,176.0,176.0,0.0,222.0,398.0
4,CASH_OUT,165.0,165.0,0.0,0.0,0.0
5,TRANSFER,368.0,368.0,0.0,0.0,0.0
6,TRANSFER,882.0,882.0,0.0,0.0,0.0
7,TRANSFER,662.0,662.0,0.0,0.0,0.0
8,CASH_OUT,207.0,207.0,0.0,0.0,0.0
9,TRANSFER,158.0,158.0,0.0,0.0,0.0
10,TRANSFER,102.0,102.0,0.0,0.0,0.0
11,TRANSFER,10000.0,50000.0,40000.0,0.0,10000.0
12,CASH_OUT,250000.0,300000.0,50000.0,0.0,250000.0
13,TRANSFER,5000.0,20000.0,15000.0,1000.0,6000.0
14,TRANSFER,1500.0,15000.0,13500.0,500.0,2000.0
15,CASH_OUT,75000.0,80000.0,5000.0,2000.0,77000.0
16,TRANSFER,500.0,13500.0,13000.0,6000.0,6500.0
17,TRANSFER,3000.0,13000.0,10000.0,6500.0,9500.0
18,CASH_OUT,25000.0,35000.0,10000.0,0.0,0.0
19,TRANSFER,2500.0,10000.0,7500.0,9500.0,12000.0
20,TRANSFER,1200.0,7500.0,6300.0,12000.0,13200.0
21,TRANSFER,450000.0,500000.0,50000.0,50000.0,500000.0
22,CASH_OUT,800000.0,1000000.0,200000.0,0.0,800000.0
23,TRANSFER,350000.0,400000.0,50000.0,100000.0,450000.0
24,TRANSFER,125000.0,150000.0,25000.0,25000.0,150000.0
25,TRANSFER,50000.0,50000.0,0.0,75000.0,125000.0
26,CASH_OUT,600000.0,650000.0,50000.0,0.0,600000.0
27,TRANSFER,75000.0,75000.0,0.0,200000.0,275000.0
28,TRANSFER,100000.0,100000.0,0.0,150000.0,250000.0
29,TRANSFER,325000.0,350000.0,25000.0,300000.0,625000.0
30,CASH_OUT,925000.0,1000000.0,75000.0,0.0,925000.0
31,TRANSFER,200.0,200.0,0.0,100.0,300.0
32,TRANSFER,150.0,150.0,0.0,200.0,350.0
33,TRANSFER,300.0,300.0,0.0,150.0,450.0
34,CASH_OUT,250.0,250.0,0.0,0.0,0.0
35,TRANSFER,180.0,180.0,0.0,50.0,230.0
36,TRANSFER,220.0,220.0,0.0,75.0,295.0
37,CASH_OUT,190.0,190.0,0.0,0.0,0.0
38,TRANSFER,160.0,160.0,0.0,120.0,280.0
39,TRANSFER,240.0,240.0,0.0,200.0,440.0
40,TRANSFER,195.0,195.0,0.0,80.0,275.0
